"ID","Is Private","Is Attachments Folder","File URL","Attached To DocType","File Size","Thumbnail URL","File Name"
"b4f996c833",0,0,"/files/IqRh7kS.png","Email Account",30638,"","7rkieaX.png"
"d04c1cc0c7",0,0,"/files/digital-marketing-5816304_1920.jpg","Program",409375,"","digital-marketing-5816304_1920.jpg"
"30971e07d2",0,0,"/files/ecommerce-2140603_1920.jpg","Program",109886,"","ecommerce-2140603_1920.jpg"
"bf579c7c0c",0,0,"/files/email-4284157_1280.png","Program",0,"","email-4284157_1280.png"
"ce28821580",0,0,"/files/email-4284157_1280.png","Program",0,"","email-4284157_1280.png"
"fef6aa8fb6",0,0,"/files/kitio46b8d1.jpg","",55577,"","kitio46b8d1.jpg"
"8f32edd188",0,0,"/files/kitio46b8d1.jpg","",55577,"","kitio46b8d1.jpg"
"2f924799ed",0,0,"/files/choungmo-fofack-nice-me259a2a.jpeg","",74199,"","choungmo-fofack-nice-me259a2a.jpeg"
"65f58d6f15",0,0,"/files/choungmo-fofack-nice-me_25%.png","",340398,"","choungmo-fofack-nice-me.png"
"2dd0f80cf3",0,0,"/files/choungmo-fofack-nice-me_25%.png","",340398,"","choungmo-fofack-nice-me_25%10b751.png"
"301e1db518",0,0,"/files/choungmo-fofack-nice-me_25%.png","",340398,"","choungmo-fofack-nice-me_25%.png"
"5642d04f16",0,0,"/files/choungmo-fofack-nice-me.jpeg","",71231,"","choungmo-fofack-nice-me.jpeg"
"a10ae57be9",0,0,"/files/facebook-group.svg","Website Settings",8466,"","facebook-group.svg"
"0ddf1341af",0,0,"/files/IqRh7kS.png","Email Account",30638,"","y9U70P5.png"
"101a2879d6",0,0,"/files/ssl-2890762_1920.jpg","Course",139886,"","ssl-2890762_1920.jpg"
"b5c31f1906",0,0,"/files/Headline-Imagese3943c.png","Web Template",962768,"","Headline-Imagese3943c.png"
"e3bb8c6ac1",0,0,"/files/fingerprint-2904774_1920.jpg","Course",153507,"","fingerprint-2904774_1920d30736.jpg"
"e5b48e7f14",0,0,"/files/fingerprint-2904774_1920.jpg","Course",153507,"","fingerprint-2904774_1920.jpg"
"7c6358220e",0,0,"/files/crypto.jpg","Course",346657,"","crypto.jpg"
"19e27198b7",0,0,"/files/CF4abda7.png","",0,"","CF4abda7.png"
"0f11e48cb1",0,0,"/files/KFd25b06.png","",0,"","KFd25b06.png"
"1ba0b501b6",0,0,"/files/CF4abda7.png","",221140,"","CF4abda7.png"
"2538b53209",0,0,"/files/KFd25b06.png","",209862,"","KFd25b06.png"
"2a61924501",0,0,"/files/IqRh7kS.png","Email Account",30638,"","9pvF6wR.png"
"b3028bc738",0,0,"/files/CF67a939.png","",228513,"","CF67a939.png"
"a060b658e3",0,0,"/files/CF.png","",116792,"","CF.png"
"14673759ca",0,0,"/files/KF.png","",221264,"","KF.png"
"5db69c71c6",0,0,"/files/IqRh7kS.png","Email Account",30638,"","IqRh7kS.png"
"ffad965323",0,0,"/files/clock-1274699_1280.jpg","",0,"","clock-1274699_1280.jpg"
"d910ee2f3c",0,0,"/files/linux-4259595_1280.jpg","Course",0,"","linux-4259595_1280.jpg"
"aa6029f326",0,0,"/files/virtual-machine-software-windows-10-featured.jpg","Course",0,"","virtual-machine-software-windows-10-featured.jpg"
"6d35beccc9",0,0,"/files/illu_docker_blog-52-1-1024x562.png","Course",0,"","illu_docker_blog-52-1-1024x562.png"
"a685880553",0,0,"/files/1590052943613.jfif","",33323,"","1590052943613.jfif"
"d1d3f7f94b",0,0,"/files/clock-1274699_1280.jpg","",111366,"","clock-1274699_1280.jpg"
"06b245f0cc",0,0,"/files/aretex.png","Web Template",28579,"","aretex.png"
"9c32b05b05",0,0,"/files/kitio.jpg","",0,"","kitio.jpg"
"e62f5061f0",0,0,"/files/Optimized-profil.jpg","Blogger",56000,"","teuma.jpg"
"4e7dd98db4",0,0,"/files/kitio.jpg","Blogger",95989,"","kitio.jpg"
"3160b96bd1",0,0,"/files/stickies-g81d581b19_1920.jpg","Blog Post",253101,"","0B7ZtIc.jpe"
"382553dcda",0,0,"/files/stickies-g81d581b19_1920.jpg","Blog Post",253101,"","stickies-g81d581b19_1920.jpg"
"501bf90846",1,0,"/private/files/Blog_Post(3).csv","Data Import",3926,"","Blog_Post(3).csv"
"45b7050c4f",0,0,"/files/erpnext-logo.png","Course",11439,"","erpnext-logo.png"
"6c766c29b8",1,0,"/private/files/Blog_Post(2).csv","Data Import",3882,"","Blog_Post(2).csv"
"c62a8709da",1,0,"/private/files/Blogger(3).csv","Data Import",200,"","Blogger(3)e8984b.csv"
"240382306f",1,0,"/private/files/Blogger(3).csv","Data Import",200,"","Blogger(3).csv"
"b1bc4246c9",0,0,"/files/gros-centre-donnees-rack-salle-serveurs-processus-ingenierie-travail-equipe-technologie-informatique-stockage-nuage_39422-1032.jpg","Course",27630,"","gros-centre-donnees-rack-salle-serveurs-processus-ingenierie-travail-equipe-technologie-informatique-stockage-nuage_39422-1032.jpg"
"a7c81e8b1c",0,0,"/files/rintio.png","Web Page",1693,"","rintio.png"
"c571a1d286",0,0,"/files/cible-lda.jpg","Web Page",14774,"","cible-lda.jpg"
"bfc0b28082",0,0,"/files/aretex.jpg","Web Page",27062,"","aretex.jpg"
"e857ff70d3",0,0,"/files/3il.jpg","Web Page",47739,"","3il.jpg"
"43d1d27ec0",0,0,"/files/history.jpg","",30507,"","history.jpg"
"1078c700b7",0,0,"/files/anonimous-girl.jpg","IREX_Testimony",0,"","anonimous-girl.jpg"
"9bba72c970",0,0,"/files/anonimous-girl.jpg","IREX_Testimony",7735,"","anonimous-girl.jpg"
"3836c422e7",0,0,"/files/sonia.jpeg","IREX_Testimony",0,"","sonia.jpeg"
"96d28c69c9",0,0,"/files/sonia.jpeg","IREX_Testimony",73984,"","sonia.jpeg"
"a6b39fc778",0,0,"/files/karl-eugene.jpeg","IREX_Testimony",0,"","karl-eugene.jpeg"
"88ad4439ae",0,0,"/files/karl-eugene.jpeg","IREX_Testimony",83668,"","karl-eugene.jpeg"
"ebd9f8c4b2",0,0,"/files/ndadem.jpeg","IREX_Testimony",0,"","ndadem.jpeg"
"2149b4039c",0,0,"/files/ndadem.jpeg","IREX_Testimony",12682,"","ndadem.jpeg"
"9056b1f14f",0,0,"/files/azia.png","IREX_Testimony",0,"","azia.png"
"f011ff7d11",0,0,"/files/azia.png","IREX_Testimony",255143,"","azia.png"
"0eb8d5dfec",0,0,"/files/tankeu.jpg","IREX_Testimony",0,"","tankeu.jpg"
"ddcdb2e6fa",0,0,"/files/tankeu.jpg","IREX_Testimony",6609,"","tankeu.jpg"
"5439d70365",0,0,"/files/bkwedou.png","IREX_Testimony",0,"","bkwedou.png"
"78730926af",0,0,"/files/bkwedou.png","IREX_Testimony",57226,"","bkwedou.png"
"79335a1767",0,0,"/files/choungmo.jpeg","IREX_Testimony",0,"","choungmo.jpeg"
"8761d09e61",0,0,"/files/choungmo.jpeg","IREX_Testimony",33323,"","choungmo.jpeg"
"cc0c5b1cbd",0,0,"/files/anais.jpeg","IREX_Testimony",0,"","anais.jpeg"
"64c3bc0edd",0,0,"/files/anais.jpeg","IREX_Testimony",47179,"","anais.jpeg"
"6a7ed423a9",0,0,"/files/Optimized-profil.jpg","IREX_Testimony",0,"","Optimized-profil.jpg"
"6342317299",0,0,"/files/Optimized-profil.jpg","IREX_Testimony",56000,"","Optimized-profil.jpg"
"400a972a51",0,0,"/files/dev_backend6ffb4b.png","Course",732362,"","dev_backend6ffb4b.png"
"8ae13158a4",0,0,"/files/dev_front_apic1a5af.png","Course",776991,"","dev_front_apic1a5af.png"
